City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Tabligbo,TG,78.8,scattered clouds,6.58,1.5,HÔTEL LA TOLÉRANCE
462,Vila Do Maio,CV,77.0,few clouds,15.13,-23.22,Residence 'I Delfini'
463,Kurinjippadi,IN,84.16,moderate rain,11.57,79.6,Agarwal Sweet & Bakery
464,West Bay,KY,80.6,scattered clouds,19.37,-81.42,Calypso Cove
469,Luangwa,ZM,76.68,clear sky,-15.62,30.42,Gerasimos Safari Lodge
471,Mana,GF,80.85,scattered clouds,5.66,-53.78,LE SAMANA
473,Sidhi,IN,80.19,clear sky,24.42,81.88,Kamdhenu Sweets
475,Puerto Quijarro,BO,75.88,overcast clouds,-17.78,-57.77,Hotel palance
478,Muyuka,CM,77.0,broken clouds,4.29,9.41,Muyuka Motor Park (El Paso)
491,Porto Novo,BJ,77.54,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
496,Kanker,IN,77.79,clear sky,20.27,81.49,STARiHOTEL Kanker
498,Grand-Bourg,GP,78.8,few clouds,15.88,-61.31,Coco Beach Resort
501,Acarau,BR,78.87,overcast clouds,-2.89,-40.12,castelo pizzaria
504,Bodden Town,KY,80.6,scattered clouds,19.28,-81.25,Will T Place
511,Corralillo,CU,77.23,overcast clouds,22.98,-80.59,Hostal De Pedri
513,Cantaura,VE,76.95,clear sky,9.31,-64.36,Hotel Lorenzana
518,Lethem,GY,81.43,clear sky,3.38,-59.8,Savannah Inn
521,Puerto Narino,CO,77.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
532,Corrente,BR,75.07,scattered clouds,-3.74,-43.34,Chapadinhense Hotel
533,Saint-Leu,RE,77.0,clear sky,-21.15,55.28,La Caz Oceane
534,Chapada Dos Guimaraes,BR,84.2,clear sky,-15.46,-55.75,Pousada Morro Dos Ventos
535,Roura,GF,75.2,clear sky,4.73,-52.33,Amazonie Découverte SARL
537,San Ignacio,BZ,78.01,clear sky,17.16,-89.07,Rainforest Haven Inn
538,Santa Cruz,BO,78.8,light rain,-17.8,-63.17,Hotel Cortez
539,Ciudad Bolivar,VE,80.64,clear sky,8.12,-63.55,Hotel Edi
540,Meulaboh,ID,86.29,overcast clouds,4.14,96.13,Kost Pria
545,Iralaya,HN,80.08,broken clouds,15.0,-83.23,Iglesia morava renovada
546,Sao Domingos,BR,78.03,overcast clouds,-13.4,-46.32,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
548,Nizwa,OM,79.77,clear sky,22.93,57.53,Orient Apartments
550,Villarrica,PY,76.03,scattered clouds,-25.75,-56.43,Mansión Reljuv Tours SA
552,Salinopolis,BR,79.65,few clouds,-0.61,-47.36,Hotel Salinópolis
556,Yanam,IN,82.4,mist,16.73,82.22,The Regency Hotel
559,Mayumba,GA,76.51,moderate rain,-3.43,10.66,LIKWALE LODGE
560,Shirgaon,IN,82.4,smoke,19.7,72.7,LAXMI GARDEN BEACH RESORT
563,Barra Do Corda,BR,78.78,clear sky,-5.5,-45.25,Belchior Palace Hotel
568,Garowe,SO,79.48,overcast clouds,8.41,48.48,Curubo Hotel
575,San Andres,CO,77.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
576,Ullal,IN,75.2,light intensity drizzle,12.8,74.85,AK INTERNATIONAL LODGE
578,Talipparamba,IN,75.2,mist,12.05,75.35,RAMIS RESIDENCY
586,Mutis,CO,78.21,light rain,6.23,-77.4,Paraiso Escondido
587,Key West,US,80.6,overcast clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
594,Kismayo,SO,80.91,broken clouds,-0.36,42.55,Agan-Hotel
604,Coruripe,BR,75.63,light rain,-10.13,-36.18,Pousada e Hotel Litoral Sul
605,Bakel,SN,83.1,clear sky,14.9,-12.46,Hôtel islam
608,Khambhat,IN,82.4,haze,22.3,72.62,Anand
613,Bilma,NE,75.04,clear sky,18.69,12.92,Expeditions Ténére voyages
614,Guayaramerin,BO,78.13,overcast clouds,-10.84,-65.36,Hostal FÜNF
624,Dhidhdhoo,MV,82.02,broken clouds,6.88,73.1,Dhidhoo beach
628,Guanica,PR,75.99,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
630,Mandera,KE,79.45,light rain,3.94,41.87,Kornesh Hotel and Lodging
635,Jawhar,SO,79.72,broken clouds,2.78,45.5,cosoble spare parts
638,Geraldton,AU,84.2,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
643,Omboue,GA,76.91,light rain,-1.57,9.26,Hotel Olako
645,Yola,NG,75.29,scattered clouds,9.2,12.48,Muna Hotel
650,Ugoofaaru,MV,82.44,few clouds,5.67,73.0,Ungoofaaru Inn
652,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
658,Bubaque,GW,83.57,light rain,11.28,-15.83,"Casa Dora, Bubaque"
659,La Asuncion,VE,81.1,clear sky,11.03,-63.86,Colinas de Matasiete
665,Carupano,VE,79.63,few clouds,10.67,-63.26,Hotel La dorada
667,Nobres,BR,80.06,overcast clouds,-14.72,-56.33,Eloáh Agência de Turismo
668,Pasni,PK,78.91,clear sky,25.26,63.47,3G hotel pasni
671,Male,MV,82.4,broken clouds,4.17,73.51,Hotel Octave Maldives
672,Conde,BR,75.2,broken clouds,-7.26,-34.91,Pousada Beija Flor
673,Ballina,AU,82.4,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
674,Soure,BR,80.87,clear sky,-0.72,-48.52,Hotel Marajó
676,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
681,Sarankhola,BD,77.45,very heavy rain,22.31,89.79,ইসা ষ্টোর
686,Kudahuvadhoo,MV,82.15,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
688,Soyo,AO,76.84,overcast clouds,-6.13,12.37,Hotel Mpampa
