,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Faya,SA,18.39,42.45,57.2,22,0,6.11,clear sky
72,Caravelas,BR,-17.71,-39.25,72.25,89,71,3.94,broken clouds
73,Lyuban,BY,52.8,28.0,48.7,94,100,7.36,overcast clouds
74,Camana,PE,-16.62,-72.71,62.87,80,83,8.32,broken clouds
75,Camacha,PT,33.08,-16.33,64.4,72,20,10.29,few clouds
76,Teya,RU,60.38,92.63,30.34,91,98,11.5,overcast clouds
77,Victoria,HK,22.29,114.16,75.99,50,100,14.03,overcast clouds
78,Mahibadhoo,MV,3.78,72.97,81.73,79,100,11.86,light rain
79,Tutoia,BR,-2.76,-42.27,80.65,80,40,15.19,scattered clouds
80,Surok,RU,56.45,48.12,32.0,91,75,13.42,snow
81,Albany,US,42.6,-73.97,57.0,85,86,1.23,overcast clouds
82,Olafsvik,IS,64.89,-23.71,42.58,70,100,35.81,moderate rain
83,Mumford,GH,5.26,-0.76,77.13,90,99,8.48,overcast clouds
84,Saint Anthony,US,45.02,-93.22,36.0,80,90,14.99,overcast clouds
85,Jibuti,DJ,11.5,42.5,80.6,57,1,8.1,haze
86,Atar,MR,20.52,-13.05,81.95,37,0,8.99,clear sky
87,Nisia Floresta,BR,-6.09,-35.21,75.2,94,40,4.7,scattered clouds
88,Zatoka,UA,46.07,30.47,48.2,93,0,11.25,clear sky
89,Nizamabad,IN,18.67,78.12,78.53,61,38,3.31,scattered clouds
90,Niquelandia,BR,-14.47,-48.46,75.33,69,60,2.73,moderate rain
91,Buchanan,LR,5.88,-10.05,76.87,88,63,4.41,moderate rain
92,Namibe,AO,-15.2,12.15,68.59,85,22,10.4,few clouds
93,Abatskoye,RU,56.29,70.46,29.75,97,78,7.11,broken clouds
94,Klaksvik,FO,62.23,-6.59,44.6,81,100,25.28,overcast clouds
95,Careiro Da Varzea,BR,-3.2,-59.81,82.4,83,0,2.24,clear sky
96,Bandarbeyla,SO,9.49,50.81,80.15,64,95,4.56,overcast clouds
97,Cartagena,CO,10.4,-75.51,84.2,89,40,3.36,scattered clouds
98,Concepcion Del Uruguay,AR,-32.48,-58.24,69.01,87,97,1.99,overcast clouds
99,Aquiraz,BR,-3.9,-38.39,78.8,83,40,10.29,scattered clouds
100,Guarapari,BR,-20.67,-40.5,73.4,78,40,8.05,scattered clouds
101,Ritchie,ZA,-29.04,24.6,73.4,43,0,5.82,clear sky
102,Copiapo,CL,-27.37,-70.33,53.6,87,0,5.82,clear sky
103,Bongor,TD,10.28,15.37,73.53,61,94,1.74,overcast clouds
104,Mitsamiouli,KM,-11.38,43.28,80.29,71,1,4.09,light rain
105,Odzaci,RS,45.51,19.26,42.8,93,0,8.05,clear sky
106,Kruisfontein,ZA,-34.0,24.73,63.97,64,98,6.08,overcast clouds
107,Liwale,TZ,-9.77,37.93,72.01,78,48,2.57,scattered clouds
108,Limulunga,ZM,-15.1,23.14,68.16,45,16,4.23,few clouds
109,Estrela,BR,-28.06,-50.94,59.59,86,93,7.47,overcast clouds
110,San Cristobal,VE,7.77,-72.22,66.22,90,98,2.28,light rain
111,Ichhawar,IN,23.02,77.02,77.0,65,1,3.36,haze
112,Anloga,GH,5.79,0.9,78.8,88,40,8.05,scattered clouds
113,Jijiga,ET,9.35,42.8,67.86,36,94,3.62,overcast clouds
114,Sao Miguel Do Araguaia,BR,-13.28,-50.16,79.29,57,2,3.85,clear sky
115,Asola,IT,45.22,10.41,53.6,100,90,2.24,fog
116,Kavaratti,IN,10.57,72.64,82.4,74,20,5.82,few clouds
117,Qarqin,AF,37.42,66.04,56.34,38,93,16.55,overcast clouds
118,Darnah,LY,32.77,22.64,68.79,73,100,16.98,moderate rain
119,Tefe,BR,-3.35,-64.71,74.41,97,74,0.81,light rain
120,Clyde River,CA,70.47,-68.59,14.0,85,1,3.36,clear sky
121,Tiberias,IL,32.79,35.53,70.0,77,0,5.82,clear sky
122,Tabou,CI,4.42,-7.35,76.73,89,56,2.3,broken clouds
123,Trollhattan,SE,58.23,12.42,51.01,93,58,10.29,broken clouds
124,Panaba,MX,21.28,-88.27,76.53,93,100,5.41,overcast clouds
125,Gagret,IN,31.67,76.07,78.93,21,0,1.92,clear sky
126,Druzhba,UA,52.04,33.95,46.29,95,47,7.81,scattered clouds
127,Pangody,RU,65.85,74.49,17.74,97,100,6.02,overcast clouds
128,Moose Factory,CA,51.26,-80.61,32.0,97,75,4.7,broken clouds
129,Saint-Augustin,CA,51.23,-58.65,33.96,88,0,11.52,clear sky
130,Dikson,RU,73.51,80.55,20.03,96,61,10.54,broken clouds
131,Hyeres,FR,43.12,6.12,64.99,88,90,2.24,overcast clouds
132,Antalaha,MG,-14.9,50.28,74.37,84,38,8.68,light rain
133,Krasnoborsk,RU,61.56,45.93,27.18,95,100,10.47,overcast clouds
134,Pravia,ES,43.49,-6.15,51.8,81,0,5.82,clear sky
135,Peruibe,BR,-24.32,-47.0,68.2,87,50,9.73,scattered clouds
136,Lukoyanov,RU,55.03,44.48,39.07,94,100,13.24,moderate rain
137,Bocaiuva,BR,-17.11,-43.81,68.31,90,100,6.22,light rain
